Player,Team,RAA,Wins,EFscore,Salary,Value
CJ Jordan,Kings XI Punjab,-63,-0.214,0.07200000000000001,428600.0,274354.0
R Ashwin,Delhi Capitals,-64,-0.217,0.08800000000000001,1100000.0,269991.0
P Dubey,Delhi Capitals,-65,-0.22,0.006,15000.0,265628.0
AJ Finch,Royal Challengers Bangalore,-72,-0.245,0.07,628600.0,229268.0
Abhishek Sharma,Sunrisers Hyderabad,-75,-0.253,0.03,85940.0,217633.0
HV Patel,Delhi Capitals,-76,-0.256,0.019,31250.0,213270.0
Abdul Samad,Sunrisers Hyderabad,-93,-0.316,0.027999999999999997,28600.0,126007.0
PK Garg,Sunrisers Hyderabad,-94,-0.317,0.022000000000000002,271400.0,124553.0
DW Steyn,Royal Challengers Bangalore,-103,-0.34700000000000003,0.011000000000000001,285700.0,80921.0
PJ Cummins,Kolkata Knight Riders,-105,-0.355,0.13699999999999998,2214300.0,69286.0
TU Deshpande,Delhi Capitals,-106,-0.359,0.024,28600.0,63469.0
Mujeeb Ur Rahman,Kings XI Punjab,-107,-0.363,0.003,625000.0,57651.0
UT Yadav,Royal Challengers Bangalore,-107,-0.363,0.003,656250.0,57651.0
R Parag,Rajasthan Royals,-109,-0.369,0.019,28600.0,48925.0
AM Rahane,Delhi Capitals,-114,-0.385,0.026000000000000002,760000.0,25655.0
VR Aaron,Rajasthan Royals,-114,-0.386,0.006,342900.0,24200.0
RV Uthappa,Rajasthan Royals,-116,-0.392,0.038,428600.0,15474.0
I Udana,Royal Challengers Bangalore,-123,-0.41600000000000004,0.052000000000000005,71400.0,-19431.0
Kartik Tyagi,Rajasthan Royals,-124,-0.419,0.062,185700.0,-23794.0
JD Unadkat,Rajasthan Royals,-126,-0.425,0.025,428600.0,-32521.0
JDS Neesham,Kings XI Punjab,-126,-0.426,0.015,71400.0,-33975.0
Washington Sundar,Royal Challengers Bangalore,-128,-0.433,0.092,500000.0,-44156.0
AD Russell,Kolkata Knight Riders,-136,-0.46,0.063,1328130.0,-83424.0
DR Sams,Delhi Capitals,-137,-0.46399999999999997,0.006,,-89242.0
PP Shaw,Delhi Capitals,-141,-0.47600000000000003,0.038,187500.0,-106694.0
KD Karthik,Kolkata Knight Riders,-143,-0.483,0.033,1156250.0,-116875.0
GJ Maxwell,Kings XI Punjab,-146,-0.494,0.040999999999999995,1535700.0,-132873.0
KL Nagarkoti,Kolkata Knight Riders,-148,-0.501,0.033,500000.0,-143054.0
AS Rajpoot,Rajasthan Royals,-149,-0.502,0.019,430000.0,-144508.0
AR Patel,Delhi Capitals,-180,-0.607,0.081,714300.0,-297218.0
NA Saini,Royal Challengers Bangalore,-191,-0.6459999999999999,0.061,468750.0,-353939.0
S Gopal,Rajasthan Royals,-215,-0.726,0.067,31250.0,-470290.0
KH Pandya,Mumbai Indians,-251,-0.848,0.066,1375000.0,-647724.0
SP Narine,Kolkata Knight Riders,-292,-0.988,0.051,1953130.0,-851338.0
